Development Name	Borough	Account Name	Location	Meter AMR	Meter Scope	TDS #	EDP	RC Code	Funding Source	AMP #	Vendor Name	UMIS BILL ID	Revenue Month	Service Start Date	Service End Date	# days	Meter Number	Estimated	Current Charges	Rate Class	Bill Analyzed	Consumption (KWH)	KWH Charges	Consumption (KW)	KW Charges	Other charges
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6245958	2017-09-01	08/22/2017	09/21/2017	30	7518362	N	12032.41	GOV/NYC/068	Yes	86000	3961.16	212	3035.84	5035.41
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6323689	2017-10-01	09/21/2017	10/23/2017	32	7518362	N	11971.3	GOV/NYC/068	Yes	88400	3621.75	212	3035.84	5313.71
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6388790	2017-11-01	10/23/2017	11/21/2017	29	7518362	N	8251.97	GOV/NYC/068	Yes	67200	2753.18	136	2534.64	2964.15
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	6467615	2017-12-01	11/21/2017	12/22/2017	31	7518362	Y	9891.83	GOV/NYC/068	Yes	74400	3048.17	144	2534.64	4309.02
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7531828	2019-01-01	12/24/2018	01/24/2019	31	7518362	N	10704.4	GOV/NYC/068	Yes	77600	2944.92	144	1347.84	6411.64
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7606943	2019-02-01	01/24/2019	02/25/2019	32	7518362	Y	10094.92	GOV/NYC/068	Yes	73200	2777.94	132	1235.52	6081.46
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7707905	2019-03-01	02/25/2019	03/26/2019	29	7518362	N	12674.75	GOV/NYC/068	Exception	73200	2777.94	144	1347.84	8548.97
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7793831	2019-04-01	03/26/2019	04/24/2019	29	7518362	N	10440.14	GOV/NYC/068	Exception	76400	2899.38	180	1684.8	5855.96
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7875599	2019-05-01	04/24/2019	05/23/2019	29	7518362	N	10359.33	GOV/NYC/068	Yes	68800	2610.96	144	1347.84	6400.53
ADAMS	BRONX	ADAMS	BLD 06	NONE	BLD 06	118	248	B011800	FEDERAL	NY005001180P	NEW YORK POWER AUTHORITY	7958944	2019-06-01	05/23/2019	06/24/2019	32	7518362	N	10904.16	GOV/NYC/068	Yes	85600	3543.84	160	1497.6	5862.72
